ticket_id,customer_id,ticket_date,issue_category,priority,resolution_time_hours,ticket_status
526,128,2025-03-04,Technical,Low,10.49,Resolved
527,226,2025-02-28,AI Output,Low,5.1,Resolved
528,178,2025-09-16,Account,Medium,16.77,Resolved
529,333,2026-04-09,Technical,Critical,7.15,Resolved
530,102,2025-11-25,Billing,Medium,10.01,Closed
531,309,2025-09-06,Account,Low,17.91,Closed
532,438,2025-08-12,Billing,Medium,16.65,Closed
533,281,2025-01-09,Account,High,19.65,Resolved
534,414,2026-08-14,Account,Low,8.23,Resolved
535,249,2026-03-05,API,Low,17.25,Resolved
536,93,2025-11-24,Technical,Low,2.44,Closed
537,409,2025-04-23,API,Low,12.19,In Progress
538,180,2025-04-15,AI Output,Medium,20.0,Resolved
539,361,2026-07-30,AI Output,Low,20.95,Resolved
540,95,2025-12-06,Billing,Medium,4.18,Resolved
541,296,2026-06-29,AI Output,Low,12.71,Closed
542,283,2025-08-10,Billing,Medium,10.33,Closed
543,183,2025-12-17,AI Output,Medium,2.41,Closed
544,480,2026-06-16,Account,High,2.6,Closed
545,323,2025-03-15,Performance,High,7.89,Closed
546,419,2026-01-24,AI Output,Medium,3.9,Closed
547,333,2025-07-15,Performance,Medium,6.77,In Progress
548,21,2025-05-17,Technical,Medium,9.5,In Progress
549,294,2026-08-01,API,Low,7.66,Resolved
550,25,2025-08-05,AI Output,Low,14.8,Resolved
551,413,2025-09-01,Performance,Low,8.25,In Progress
552,20,2025-11-11,Technical,Low,18.72,Closed
553,217,2026-06-18,Technical,Low,9.78,Resolved
554,491,2025-07-20,Account,Medium,9.0,Resolved
555,238,2025-06-20,Billing,High,7.13,Closed
556,14,2026-05-17,AI Output,Medium,17.19,Resolved
557,272,2025-11-27,Billing,Medium,18.2,Resolved
558,374,2026-03-06,Technical,Low,5.37,Open
559,87,2026-07-14,Technical,Low,19.86,Resolved
560,417,2025-04-05,Billing,Critical,10.23,Resolved
561,472,2026-04-15,Billing,Medium,12.17,Closed
562,455,2025-03-21,Billing,Low,4.7,Closed
563,46,2026-01-07,Technical,High,7.35,Closed
564,372,2026-07-12,Performance,Medium,13.36,Resolved
565,453,2026-03-08,AI Output,Low,10.12,Resolved
566,326,2025-01-13,Account,Medium,4.91,Closed
567,382,2026-08-29,Performance,Medium,16.76,Closed
568,132,2026-01-07,Performance,Medium,2.72,Resolved
569,98,2025-05-07,Account,Low,16.1,Closed
570,309,2026-02-01,API,Critical,2.71,Closed
571,261,2025-11-01,API,Medium,12.03,Resolved
572,17,2026-07-27,Performance,High,14.38,Resolved
573,262,2025-07-24,Billing,Low,0.71,Resolved
574,199,2025-05-29,API,Low,7.82,Closed
575,317,2026-01-09,AI Output,High,6.19,Resolved
576,4,2026-01-08,Account,Low,18.61,Open
577,23,2025-01-09,AI Output,Medium,0.45,Resolved
578,484,2025-03-20,Performance,Medium,30.3,Resolved
579,419,2025-01-08,API,Low,5.06,Resolved
580,248,2025-05-12,Billing,Low,18.35,Closed
581,139,2025-08-29,Technical,Medium,13.79,Closed
582,26,2025-08-16,Account,Medium,10.71,Resolved
583,173,2025-01-06,API,Medium,1.67,Closed
584,205,2026-08-06,Account,Critical,28.83,Closed
585,422,2025-09-19,API,Low,8.79,Resolved
586,463,2025-08-08,AI Output,Low,3.38,Closed
587,277,2026-01-12,Billing,Medium,5.43,Resolved
588,446,2025-12-27,API,Medium,16.42,Closed
589,145,2025-10-14,Account,Medium,31.38,Closed
590,87,2025-06-02,API,Low,6.99,Resolved
591,191,2026-08-28,API,Low,18.78,Closed
592,368,2026-03-20,Billing,Critical,0.99,Resolved
593,380,2025-10-09,API,Low,12.41,Resolved
594,376,2025-10-13,Performance,Low,6.02,Resolved
595,44,2026-07-28,Billing,Critical,5.12,Closed
596,66,2026-02-14,Performance,Low,19.8,Closed
597,295,2026-05-20,Account,High,4.67,Resolved
598,285,2026-04-07,Performance,Critical,4.6,Resolved
599,429,2026-08-27,Technical,Low,7.54,Resolved
600,468,2025-01-21,Billing,High,17.02,Resolved
601,262,2026-03-02,Performance,Low,1.81,Closed
602,393,2025-02-03,Technical,Medium,3.98,Resolved
603,162,2026-01-29,Account,Medium,5.59,Resolved
604,247,2026-02-04,Technical,Low,8.23,Closed
605,59,2025-10-29,API,Medium,11.6,Resolved
606,457,2025-04-04,API,Medium,4.74,Closed
607,470,2025-01-30,Performance,Low,6.04,Resolved
608,482,2025-11-19,AI Output,High,2.67,Open
609,221,2025-08-06,Account,Low,1.57,Closed
610,494,2025-08-12,API,Low,3.33,Closed
611,301,2026-03-09,Billing,Low,6.11,Resolved
612,195,2025-09-16,Technical,Low,15.91,Resolved
613,17,2025-12-21,Performance,Medium,8.58,Closed
614,152,2025-07-19,Performance,Low,5.92,Closed
615,193,2026-07-18,API,Medium,26.59,Resolved
616,201,2025-03-03,AI Output,Low,19.4,Closed
617,302,2025-05-01,API,Medium,3.29,Resolved
618,192,2026-06-26,Billing,Medium,6.8,Resolved
619,461,2026-01-29,Account,Medium,8.98,Resolved
620,59,2026-07-18,API,High,3.22,Closed
621,7,2025-12-08,AI Output,Medium,5.36,Closed
622,125,2025-04-22,Billing,High,16.1,Closed
623,173,2025-04-03,Account,High,7.75,Closed
624,65,2025-04-24,AI Output,Critical,8.54,In Progress
625,153,2025-05-01,API,Medium,13.12,Closed
626,301,2025-04-25,Technical,High,10.15,Resolved
627,320,2026-03-28,Performance,Medium,10.85,Resolved
628,332,2026-08-14,Account,Low,14.95,Resolved
629,284,2025-01-24,AI Output,Critical,13.9,Resolved
630,249,2025-03-24,AI Output,Medium,16.28,In Progress
631,85,2026-07-24,Performance,Low,19.2,Closed
632,8,2025-12-19,AI Output,High,2.99,Resolved
633,331,2026-05-30,Technical,High,3.95,Resolved
634,79,2025-05-12,Technical,Medium,3.12,Resolved
635,327,2025-09-27,Performance,Low,2.87,Closed
636,3,2026-07-17,AI Output,High,8.77,Resolved
637,75,2026-06-10,AI Output,Medium,2.49,Resolved
638,277,2026-02-26,Billing,Low,26.59,Closed
639,451,2025-02-05,Account,Medium,13.5,Resolved
640,207,2026-01-26,AI Output,Medium,7.68,Closed
641,61,2026-01-31,Account,Low,6.19,Closed
642,470,2025-06-04,Technical,Critical,25.93,Resolved
643,414,2025-10-24,Billing,High,12.83,Resolved
644,89,2025-03-03,Technical,Medium,11.47,Resolved
645,422,2025-05-18,AI Output,Low,9.54,In Progress
646,263,2025-06-21,API,High,13.89,Resolved
647,268,2026-03-08,Technical,Low,4.6,Closed
648,7,2026-04-08,AI Output,Low,24.55,Resolved
649,390,2026-07-31,Account,Low,19.93,Resolved
650,470,2026-05-18,Performance,Medium,4.57,Resolved
651,221,2025-12-08,Performance,Medium,12.76,Resolved
652,264,2025-01-03,API,Low,1.32,Resolved
653,390,2026-04-30,Billing,High,17.19,Resolved
654,148,2026-06-23,AI Output,Medium,12.92,Resolved
655,288,2025-03-20,AI Output,Low,34.43,Resolved
656,325,2025-06-15,AI Output,High,15.97,Resolved
657,33,2026-04-28,Billing,High,12.52,Resolved
658,7,2025-12-02,Billing,Low,11.52,Resolved
659,380,2026-07-17,Account,Medium,14.98,Resolved
660,343,2025-07-08,API,Low,11.04,Resolved
661,352,2025-12-02,Performance,High,6.44,Open
662,194,2025-06-05,Performance,Critical,10.11,In Progress
663,31,2025-07-01,API,High,7.93,Resolved
664,14,2025-12-12,API,High,4.95,Resolved
665,343,2026-08-08,Account,Low,5.62,Resolved
666,150,2026-08-18,Technical,Low,21.39,Resolved
667,139,2026-06-18,Billing,Medium,20.48,Resolved
668,234,2025-06-10,AI Output,Medium,6.78,Resolved
669,85,2025-06-23,Technical,Low,6.26,Open
670,466,2025-10-19,Technical,Low,5.92,Closed
671,225,2026-05-13,Billing,Low,4.73,Closed
672,460,2025-12-12,API,High,7.58,Resolved
673,227,2026-04-15,Performance,Critical,8.79,Closed
674,55,2025-04-18,Billing,High,5.03,Resolved
675,393,2025-01-09,Billing,Medium,7.98,In Progress
676,77,2025-10-05,AI Output,High,19.56,Closed
677,355,2025-09-06,Technical,Low,7.59,Resolved
678,134,2026-02-27,Performance,Medium,5.17,Open
679,6,2025-06-20,Performance,High,11.9,Resolved
680,145,2026-08-15,Technical,Medium,5.65,Closed
681,368,2025-01-04,API,Low,5.69,Closed
682,160,2026-04-07,Account,Medium,11.73,Closed
683,244,2025-11-01,AI Output,Low,19.92,Resolved
684,334,2026-08-19,Performance,Medium,3.5,Resolved
685,78,2025-01-20,Performance,High,0.96,Resolved
686,298,2025-05-09,Technical,Low,10.79,Closed
687,191,2025-02-11,Billing,Low,1.98,Closed
688,500,2025-11-10,Performance,Low,9.38,Closed
689,304,2025-03-15,AI Output,High,17.34,Resolved
690,134,2026-07-28,Performance,Medium,14.23,Closed
691,439,2025-05-08,API,Low,19.08,In Progress
692,343,2025-05-09,Performance,High,26.41,In Progress
693,184,2025-08-13,Technical,Low,28.48,Closed
694,219,2025-03-22,Account,Medium,11.91,Resolved
695,437,2025-10-20,Technical,Low,16.07,Resolved
696,439,2026-07-15,Performance,Low,6.33,Resolved
697,31,2025-08-06,Technical,Medium,6.84,Resolved
698,223,2026-04-14,AI Output,Medium,19.75,In Progress
699,122,2025-02-20,Billing,High,4.84,Closed
700,464,2026-05-07,AI Output,Critical,12.63,Resolved
701,221,2025-02-03,AI Output,Medium,19.25,Resolved
702,18,2025-05-24,API,Medium,20.04,Closed
703,29,2026-04-13,API,High,9.47,Resolved
704,90,2026-05-12,API,Low,4.68,Resolved
705,20,2026-07-26,Technical,Low,9.57,Closed
706,112,2026-02-02,Performance,Medium,2.4,Closed
707,314,2026-08-21,Billing,High,4.67,Closed
708,161,2025-12-03,Account,High,32.66,Closed
709,248,2026-07-19,AI Output,High,4.25,Resolved
710,412,2025-12-03,API,Low,3.89,In Progress
711,424,2026-04-11,Billing,Low,7.06,Closed
712,231,2026-01-14,AI Output,Medium,11.92,Resolved
713,93,2025-11-18,Technical,Low,6.08,Closed
714,374,2026-06-05,Performance,Medium,3.22,Closed
715,34,2025-01-19,Billing,High,9.61,Closed
716,46,2025-11-23,API,Critical,6.85,Closed
717,221,2025-06-06,Account,Medium,5.6,Resolved
718,92,2026-05-26,AI Output,High,2.97,Resolved
719,312,2025-11-02,Account,Medium,6.65,Resolved
720,499,2025-05-18,Billing,Medium,28.81,Resolved
721,457,2025-04-04,Billing,Low,6.16,Closed
722,269,2025-04-04,AI Output,High,8.82,Resolved
723,289,2025-12-08,API,High,20.01,Resolved
724,95,2026-07-01,Billing,Low,12.25,Resolved
725,161,2026-08-28,Billing,Low,6.06,Closed
726,166,2025-06-02,Performance,Medium,27.37,Resolved
727,31,2025-04-10,Performance,Medium,4.05,Closed
728,155,2026-06-15,Performance,High,8.75,Closed
729,357,2026-03-21,AI Output,Low,9.41,Resolved
730,257,2025-03-15,AI Output,Medium,6.61,Closed
731,457,2026-03-04,Billing,Medium,7.29,Closed
732,73,2025-03-04,Technical,Low,14.99,Resolved
733,324,2026-05-25,Performance,Medium,10.22,Resolved
734,219,2025-10-04,Billing,Medium,4.08,Resolved
735,77,2025-08-06,Billing,Medium,16.42,Open
736,418,2026-05-19,Account,Low,20.26,Resolved
737,171,2026-03-24,Performance,Medium,9.47,Closed
738,164,2026-07-17,API,Medium,13.92,Resolved
739,309,2026-01-04,API,High,25.31,In Progress
740,130,2025-01-20,AI Output,Critical,4.19,Resolved
741,472,2026-01-01,Performance,High,7.75,Closed
742,315,2025-09-28,AI Output,Low,11.34,Resolved
743,268,2025-06-23,AI Output,Medium,13.33,Resolved
744,51,2025-01-24,API,Medium,5.58,Resolved
745,273,2025-01-07,API,Medium,1.65,In Progress
746,351,2026-04-06,API,Medium,5.69,Resolved
747,71,2025-02-15,Performance,Low,17.12,Resolved
748,144,2026-07-17,API,Low,10.0,Closed
749,15,2026-04-27,AI Output,Medium,6.07,Resolved
750,298,2026-03-11,Billing,Medium,28.51,Closed
751,204,2025-07-12,Performance,High,11.44,Open
752,328,2025-12-29,Performance,Low,6.85,Resolved
753,330,2026-08-10,Technical,Critical,3.29,Resolved
754,248,2026-06-06,Account,Medium,8.85,Closed
755,45,2025-04-30,Technical,Low,6.56,Resolved
756,199,2026-06-29,Performance,Low,7.74,Resolved
757,201,2025-07-28,AI Output,Low,4.62,Resolved
758,4,2025-01-04,Technical,Medium,6.77,Open
759,56,2025-01-31,Technical,Medium,8.61,Resolved
760,230,2026-06-10,Technical,Low,11.94,Resolved
761,452,2026-08-07,Performance,Medium,9.3,Closed
762,89,2025-10-24,Billing,Low,4.06,Resolved
763,167,2025-10-23,API,Low,8.38,Resolved
764,132,2025-05-16,API,Medium,9.21,Resolved
765,47,2025-11-12,AI Output,Medium,10.5,Resolved
766,432,2025-02-03,Performance,Medium,6.15,Resolved
767,321,2026-02-23,API,Low,4.78,Resolved
768,84,2025-10-27,Billing,Medium,14.98,Closed
769,493,2025-08-09,Billing,Medium,5.66,Open
770,43,2025-04-10,Technical,High,4.22,Resolved
771,155,2025-06-02,AI Output,High,20.89,Resolved
772,439,2026-07-07,Account,Medium,4.74,Closed
773,410,2026-03-12,Technical,Low,1.81,Closed
774,20,2026-05-10,Technical,Medium,9.7,Resolved
775,14,2025-11-29,Technical,Low,3.03,Resolved
776,201,2025-06-21,API,Low,5.94,Closed
777,100,2026-07-28,Performance,Medium,30.52,Closed
778,313,2025-09-29,Performance,Critical,21.92,Closed
779,250,2026-02-18,AI Output,Low,15.06,Closed
780,401,2026-02-15,Performance,Low,14.3,Resolved
781,296,2025-11-09,Billing,Low,10.33,In Progress
782,176,2025-07-05,Performance,Medium,7.52,Closed
783,244,2025-10-02,Technical,Medium,28.59,Resolved
784,160,2026-01-17,AI Output,Medium,6.73,Resolved
785,50,2026-03-30,Technical,Medium,2.76,Closed
786,245,2026-06-30,Billing,Medium,11.12,Resolved
787,193,2026-01-13,Performance,Low,13.05,Resolved
788,420,2025-03-05,AI Output,Medium,8.2,In Progress
789,113,2025-03-30,Account,Medium,5.86,Resolved
790,80,2025-06-06,Account,Low,6.03,Closed
791,211,2025-05-06,AI Output,Medium,11.05,Resolved
792,83,2025-12-30,Performance,Low,16.42,Resolved
793,226,2026-08-27,AI Output,High,1.79,Resolved
794,370,2026-03-23,AI Output,Critical,9.89,Resolved
795,107,2026-05-21,Account,Low,7.54,In Progress
796,305,2025-08-09,Account,Low,10.15,Closed
797,49,2025-03-08,Performance,Low,15.06,Resolved
798,379,2025-03-14,Technical,Medium,14.52,Closed
799,102,2025-02-20,AI Output,Low,9.28,Resolved
800,235,2025-06-18,Technical,Low,4.01,In Progress
801,309,2025-08-16,AI Output,High,11.39,Resolved
802,46,2025-12-18,Performance,Low,18.0,Resolved
803,125,2026-02-10,Performance,High,10.11,Resolved
804,378,2025-04-13,AI Output,High,15.84,Closed
805,452,2026-07-03,AI Output,Medium,5.37,In Progress
806,173,2025-07-06,Performance,Medium,12.45,Closed
807,367,2025-08-04,Billing,High,17.36,Resolved
808,348,2025-11-25,Account,Low,4.92,Closed
809,3,2026-08-22,AI Output,High,11.83,Resolved
810,95,2025-12-21,Technical,Low,4.44,Resolved
811,101,2026-02-14,Account,Low,7.44,Resolved
812,401,2026-01-06,Performance,Low,6.54,Closed
813,145,2025-09-03,Account,Critical,17.23,Resolved
814,17,2025-07-19,AI Output,Low,11.32,Closed
815,470,2025-01-16,Billing,Low,3.16,Resolved
816,57,2026-03-09,Account,Low,17.78,Open
817,115,2026-02-04,API,Medium,9.41,In Progress
818,318,2025-07-01,Account,Medium,13.19,Closed
819,124,2025-11-22,AI Output,Medium,7.78,Open
820,159,2025-04-27,Technical,Low,6.24,Closed
821,280,2025-08-08,Performance,Medium,9.78,Resolved
822,497,2025-10-02,Billing,Critical,3.46,Resolved
823,128,2025-10-11,API,High,16.42,Closed
824,8,2025-09-13,Account,Low,2.06,Resolved
825,163,2025-04-13,API,High,7.59,Closed
826,101,2025-08-07,Billing,Medium,8.67,Resolved
827,173,2026-08-22,Technical,Medium,14.34,Closed
828,334,2025-06-16,Account,Low,10.09,Resolved
829,115,2026-06-14,Technical,Medium,2.1,Closed
830,292,2026-07-21,Technical,Low,4.05,Closed
831,403,2026-05-24,Performance,Medium,17.51,Resolved
832,244,2025-10-18,AI Output,Low,1.61,Resolved
833,154,2025-05-17,Account,High,1.66,Resolved
834,105,2025-01-20,Account,Medium,3.59,Resolved
835,425,2025-10-01,Billing,High,44.2,Resolved
836,370,2025-05-15,Billing,Medium,13.39,Closed
837,499,2025-02-03,Technical,High,9.33,Closed
838,397,2025-09-14,API,Medium,8.19,Resolved
839,59,2026-08-11,Billing,Medium,15.17,Closed
840,12,2026-01-24,Account,Low,8.52,Closed
841,222,2025-12-07,Performance,Low,6.81,Closed
842,270,2026-05-07,Account,Low,7.78,Closed
843,93,2025-09-05,Performance,Medium,8.93,Resolved
844,247,2026-08-09,Billing,Low,2.5,Open
845,2,2026-03-18,Account,Medium,6.62,Resolved
846,314,2026-01-16,API,Medium,11.43,Resolved
847,497,2025-10-23,Performance,Medium,6.48,Resolved
848,177,2026-08-14,AI Output,Medium,14.47,Open
849,46,2025-07-08,Performance,Medium,11.49,Closed
850,326,2025-12-12,Account,Medium,29.92,Open
851,326,2026-06-06,Technical,Low,18.71,Open
852,225,2026-01-06,API,Medium,12.21,Closed
853,341,2025-12-06,AI Output,Medium,12.51,Resolved
854,358,2025-04-29,Billing,Medium,3.61,Resolved
855,181,2025-08-01,Technical,Medium,8.27,Resolved
856,19,2026-08-17,Technical,Low,26.12,In Progress
857,220,2025-03-30,Billing,Medium,20.93,Resolved
858,98,2025-06-02,Performance,Low,29.22,Closed
859,251,2026-07-17,AI Output,Low,10.91,Resolved
860,433,2025-03-28,Account,Low,8.31,Resolved
861,9,2025-12-08,Performance,Medium,2.0,Resolved
862,209,2025-05-16,API,Medium,3.52,Resolved
863,318,2026-02-05,API,Low,27.52,Resolved
864,260,2026-02-04,AI Output,Medium,6.43,Closed
865,425,2026-08-08,AI Output,High,1.36,Resolved
866,309,2026-01-13,Account,Medium,5.63,Resolved
867,384,2026-02-13,Technical,Low,2.42,Closed
868,214,2025-02-01,Billing,Low,14.35,Closed
869,485,2026-07-15,Account,Medium,15.76,Closed
870,282,2025-06-05,AI Output,Medium,9.77,Resolved
871,258,2025-04-23,Account,Low,30.81,Resolved
872,156,2025-09-12,AI Output,Medium,17.34,Resolved
873,35,2025-09-18,Technical,Low,8.63,Resolved
874,426,2026-04-13,Billing,Medium,15.92,In Progress
875,259,2026-05-14,Billing,High,0.16,In Progress
876,218,2025-11-10,Technical,Medium,26.36,Closed
877,82,2025-02-19,Technical,Low,9.11,Closed
878,434,2025-09-14,Billing,Low,7.38,Resolved
879,274,2026-04-23,Technical,Medium,11.77,Resolved
880,471,2026-02-28,Performance,Medium,6.87,Closed
881,318,2025-03-18,API,Low,5.13,Resolved
882,329,2025-03-23,Technical,Low,0.93,In Progress
883,66,2025-07-24,Account,Low,9.59,Resolved
884,47,2025-03-27,Technical,Medium,10.93,Closed
885,267,2026-06-07,Technical,High,5.24,Closed
886,366,2025-07-30,Billing,Medium,6.12,Resolved
887,455,2025-04-29,AI Output,Low,1.1,Resolved
888,14,2025-05-13,Account,Critical,7.0,Resolved
889,90,2025-08-20,AI Output,Medium,3.01,Resolved
890,497,2025-01-10,AI Output,Critical,10.52,Closed
891,18,2026-03-28,Technical,Medium,4.59,Resolved
892,107,2026-08-03,Performance,High,7.74,Closed
893,434,2025-05-24,AI Output,Medium,11.99,Resolved
894,129,2025-12-16,Technical,Low,3.2,Closed
895,218,2025-05-21,Account,Low,11.33,Resolved
896,356,2025-12-19,API,Medium,4.46,In Progress
897,65,2025-11-20,Performance,Medium,16.9,Closed
898,426,2026-08-26,Billing,Medium,11.14,Resolved
899,437,2026-08-21,Performance,Medium,15.27,Resolved
900,60,2025-07-05,Billing,Medium,21.72,Resolved
